	tt	loss	loss_rec	entropy_marginal	entropy_mean	loss_affine
125	1259	-0.22	0.015	2.744	1.304	0.008
126	1269	-0.22	0.015	2.743	1.296	0.008
127	1279	-0.22	0.015	2.745	1.288	0.008
128	1289	-0.221	0.015	2.744	1.274	0.008
129	1299	-0.221	0.015	2.744	1.27	0.008
130	1309	-0.221	0.015	2.744	1.256	0.008
131	1319	-0.222	0.015	2.745	1.252	0.009
132	1329	-0.222	0.015	2.745	1.241	0.008
133	1339	-0.222	0.015	2.745	1.228	0.008
134	1349	-0.223	0.015	2.745	1.223	0.009
135	1359	-0.223	0.015	2.744	1.212	0.009
136	1369	-0.223	0.015	2.745	1.205	0.01
137	1379	-0.223	0.015	2.744	1.196	0.009
138	1389	-0.224	0.015	2.745	1.185	0.009
139	1399	-0.224	0.015	2.745	1.178	0.009
140	1409	-0.224	0.015	2.745	1.174	0.009
141	1419	-0.225	0.015	2.746	1.16	0.009
142	1429	-0.225	0.015	2.745	1.157	0.01
143	1439	-0.225	0.015	2.746	1.146	0.009
144	1449	-0.225	0.015	2.746	1.138	0.01
145	1459	-0.226	0.015	2.746	1.129	0.01
146	1469	-0.226	0.015	2.745	1.118	0.01
147	1479	-0.226	0.015	2.744	1.109	0.01
148	1489	-0.227	0.015	2.746	1.102	0.01
149	1499	-0.227	0.015	2.745	1.097	0.01
150	1509	-0.227	0.015	2.746	1.086	0.01
151	1519	-0.227	0.014	2.745	1.076	0.01
152	1529	-0.228	0.015	2.744	1.067	0.01
153	1539	-0.228	0.014	2.744	1.058	0.01
154	1549	-0.228	0.014	2.746	1.055	0.01
155	1559	-0.228	0.015	2.744	1.048	0.011
156	1569	-0.228	0.014	2.743	1.038	0.01
157	1579	-0.229	0.014	2.744	1.026	0.011
158	1589	-0.229	0.014	2.743	1.024	0.011
159	1599	-0.229	0.014	2.744	1.013	0.01
160	1609	-0.229	0.014	2.743	1.009	0.011
161	1619	-0.23	0.014	2.743	1.003	0.011
162	1629	-0.23	0.014	2.742	0.993	0.012
163	1639	-0.23	0.014	2.744	0.986	0.012
164	1649	-0.23	0.014	2.744	0.979	0.012
165	1659	-0.231	0.014	2.742	0.968	0.012
166	1669	-0.231	0.014	2.741	0.965	0.012
167	1679	-0.231	0.014	2.741	0.961	0.012
168	1689	-0.231	0.014	2.741	0.951	0.012
169	1699	-0.231	0.014	2.742	0.948	0.012
170	1709	-0.232	0.014	2.742	0.94	0.012
171	1719	-0.232	0.014	2.742	0.935	0.013
172	1729	-0.232	0.014	2.741	0.925	0.012
173	1739	-0.232	0.014	2.74	0.922	0.012
174	1749	-0.232	0.014	2.741	0.916	0.012
175	1759	-0.233	0.014	2.742	0.907	0.012
176	1769	-0.233	0.014	2.743	0.901	0.012
177	1779	-0.233	0.014	2.743	0.894	0.012
178	1789	-0.233	0.014	2.739	0.887	0.012
179	1799	-0.233	0.014	2.741	0.88	0.012
180	1809	-0.234	0.014	2.742	0.876	0.013
181	1819	-0.234	0.014	2.744	0.876	0.013
182	1829	-0.234	0.014	2.741	0.864	0.012
183	1839	-0.234	0.014	2.74	0.855	0.012
184	1849	-0.234	0.014	2.741	0.853	0.014
185	1859	-0.234	0.014	2.74	0.847	0.013
186	1869	-0.235	0.014	2.741	0.839	0.013
187	1879	-0.235	0.014	2.741	0.841	0.013
188	1889	-0.235	0.014	2.742	0.832	0.013
189	1899	-0.235	0.014	2.74	0.823	0.013
190	1909	-0.235	0.014	2.74	0.818	0.013
191	1919	-0.236	0.014	2.739	0.813	0.013
192	1929	-0.236	0.014	2.74	0.81	0.013
193	1939	-0.236	0.014	2.739	0.8	0.013
194	1949	-0.236	0.014	2.74	0.801	0.013
195	1959	-0.236	0.014	2.74	0.789	0.013
196	1969	-0.236	0.014	2.738	0.784	0.013
197	1979	-0.237	0.014	2.74	0.776	0.013
198	1989	-0.237	0.014	2.74	0.776	0.014
199	1999	-0.237	0.014	2.742	0.768	0.014
200	2009	-0.237	0.014	2.742	0.764	0.014
201	2019	-0.237	0.014	2.738	0.763	0.013
202	2029	-0.237	0.013	2.738	0.751	0.013
203	2039	-0.238	0.013	2.74	0.744	0.014
204	2049	-0.238	0.013	2.74	0.74	0.013
205	2059	-0.238	0.013	2.742	0.738	0.013
206	2069	-0.238	0.013	2.741	0.733	0.014
207	2079	-0.239	0.013	2.741	0.722	0.014
208	2089	-0.238	0.013	2.738	0.717	0.013
209	2099	-0.239	0.013	2.739	0.717	0.014
210	2109	-0.239	0.013	2.738	0.709	0.014
211	2119	-0.239	0.013	2.74	0.706	0.013
212	2129	-0.239	0.013	2.738	0.699	0.014
213	2139	-0.239	0.013	2.739	0.693	0.014
214	2149	-0.239	0.013	2.737	0.686	0.015
215	2159	-0.24	0.013	2.741	0.689	0.014
216	2169	-0.24	0.013	2.737	0.681	0.014
217	2179	-0.24	0.013	2.739	0.676	0.015
218	2189	-0.24	0.013	2.737	0.665	0.014
219	2199	-0.24	0.013	2.74	0.665	0.015
220	2209	-0.24	0.013	2.739	0.657	0.014
221	2219	-0.241	0.013	2.74	0.653	0.015
222	2229	-0.241	0.013	2.739	0.645	0.015
223	2239	-0.241	0.013	2.737	0.642	0.014
224	2249	-0.241	0.013	2.737	0.64	0.014
225	2259	-0.241	0.013	2.74	0.639	0.016
226	2269	-0.241	0.013	2.738	0.632	0.014
227	2279	-0.241	0.013	2.739	0.625	0.014
228	2289	-0.241	0.013	2.737	0.623	0.014
